nombre,cantidad,precio,descripcion,id_categoria,id_proveedor,caducidad,imagen
SourPatch Kids 99g,2.0,0.0,,20,7,,sourpatch_kids_99g.jpg
Nerds Gummy Clusters 85g,4.0,0.0,,20,8,,nerds_gummy_clusters_85g.jpg
Whoppers Originals 141g ,1.0,0.0,,20,9,,whoppers_originals_141g.jpg
Mazapan de la Rosa Gigante 50g,17.0,0.0,,10,10,,mazapan_de_la_rosa_gigante_50g.jpg
"Halls Negras 24,75g ",8.0,0.0,,20,1,,halls_negras_24_75g.jpg
Winis Diversos ,32.0,0.0,,20,2,,winis_diversos.jpg
Pelon Pelo Rico Tamarindo 30g,15.0,0.0,,20,3,,pelon_pelo_rico_tamarindo_30g.jpg
Lucas Muecas Polvo 24g,8.0,0.0,,20,4,,lucas_muecas_polvo_24g.jpg
Pulparindo 14g,11.0,0.0,,20,5,,pulparindo_14g.jpg
OFF! Kids (Repelente Moscos) 118ml,7.0,0.0,,20,6,,off_kids_repelente_moscos_118ml.jpg
OFF! Family (Repelente Moscos) 200ml,2.0,0.0,,20,7,,off_family_repelente_moscos_200ml.jpg
Kotex Regular con Alas 16pz,1.0,0.0,,20,8,,kotex_regular_con_alas_16pz.jpg
Kotex Nocturno Extra Larga con Alas 10pz,1.0,0.0,,20,9,,kotex_nocturno_extra_larga_con_alas_10pz.jpg
Kotex Tampones Flujo abundante 12pz,2.0,0.0,,20,10,,kotex_tampones_flujo_abundante_12pz.jpg
Kotex Tampones Flujo Super abundante 12pz,3.0,0.0,,20,1,,kotex_tampones_flujo_super_abundante_12pz.jpg
Saba Invisible con alas 7pz,1.0,0.0,,20,2,,saba_invisible_con_alas_7pz.jpg
Quita Esmalte Equate 100ml,2.0,0.0,,20,3,,quita_esmalte_equate_100ml.jpg
Kleen Bebe Suavelastic Toallas 100pz ,3.0,0.0,,17,4,,kleen_bebe_suavelastic_toallas_100pz.jpg
Zenker Kids Protector Solar 60g,2.0,0.0,,20,5,,zenker_kids_protector_solar_60g.jpg
Zenker LAB Protector Solar 60g,2.0,0.0,,20,6,,zenker_lab_protector_solar_60g.jpg
Lomecan Intimo Ultra Fresh 200ml,2.0,0.0,,20,7,,lomecan_intimo_ultra_fresh_200ml.jpg
Caprice Palmolive 316ml ,2.0,0.0,,20,8,,caprice_palmolive_316ml.jpg
Cosmetic Corta uñas 1pz,1.0,0.0,,20,9,,cosmetic_corta_unas_1pz.jpg
eGo Magnetic Gel 200ml,7.0,0.0,,20,10,,ego_magnetic_gel_200ml.jpg
Colgate XTRA Blancura 50ml,11.0,0.0,,20,1,,colgate_xtra_blancura_50ml.jpg
Sedal Crema para peinar Risos Definidos 135ml,5.0,0.0,,20,2,,sedal_crema_para_peinar_risos_definidos_135ml.jpg
Rexona Desodorante XXL 148g,2.0,0.0,,20,3,,rexona_desodorante_xxl_148g.jpg
Algodón Absorbente Laloma 3g,6.0,0.0,,20,4,,algodon_absorbente_laloma_3g.jpg
Head&Shoulders Limpieza Renovadora 90ml,10.0,0.0,,20,5,,head_shoulders_limpieza_renovadora_90ml.jpg
Pantene Restauracion 100ml,16.0,0.0,,10,6,,pantene_restauracion_100ml.jpg
Escudo Jabon Corporal 135g,9.0,0.0,,20,7,,escudo_jabon_corporal_135g.jpg
Agua Oxigenada 960ml,2.0,0.0,,2,8,,agua_oxigenada_960ml.jpg
Cloralex El rendidor 500ml,3.0,0.0,,20,9,,cloralex_el_rendidor_500ml.jpg
Salvo Antigrasa 215ml,4.0,0.0,,20,10,,salvo_antigrasa_215ml.jpg
Inflador y reparador de neumaticos 475ml,1.0,0.0,,20,1,,inflador_y_reparador_de_neumaticos_475ml.jpg
Fabuloso Morado 500ml,1.0,0.0,,20,2,,fabuloso_morado_500ml.jpg
Raid Mosquitos Raidolitos 10 Espirales,2.0,0.0,,20,3,,raid_mosquitos_raidolitos_10_espirales.jpg
Colgate Cepillo de dientes  Medio ,12.0,0.0,,20,4,,colgate_cepillo_de_dientes_medio.jpg
Rastrillo Bic Comford ,25.0,0.0,,20,5,,rastrillo_bic_comford.jpg
Café Oriental Sobre,6.0,0.0,,20,6,,cafe_oriental_sobre.jpg
